SiteID, 124266.0,Site Timezone,-8.0,Data Timezone,-8.0
Longitude, -121.114151
Latitude, 46.46537
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,5.1450000000000005
2011,1,1,0,5,5.1450000000000005
2011,1,1,0,10,5.139
2011,1,1,0,15,5.111
2011,1,1,0,20,5.118
2011,1,1,0,25,5.142
2011,1,1,0,30,5.163
2011,1,1,0,35,5.148
2011,1,1,0,40,5.166
2011,1,1,0,45,5.1690000000000005
2011,1,1,0,50,5.157
2011,1,1,0,55,5.172
2011,1,1,1,0,5.212
2011,1,1,1,5,5.258
2011,1,1,1,10,5.291
2011,1,1,1,15,5.3100000000000005
2011,1,1,1,20,5.328
2011,1,1,1,25,5.322
2011,1,1,1,30,5.319
2011,1,1,1,35,5.307
2011,1,1,1,40,5.304
2011,1,1,1,45,5.304
2011,1,1,1,50,5.3100000000000005
2011,1,1,1,55,5.288
2011,1,1,2,0,5.243
2011,1,1,2,5,5.2090000000000005
2011,1,1,2,10,5.203
2011,1,1,2,15,5.188
2011,1,1,2,20,5.163
2011,1,1,2,25,5.151
2011,1,1,2,30,5.136
2011,1,1,2,35,5.139
2011,1,1,2,40,5.163
2011,1,1,2,45,5.179
2011,1,1,2,50,5.191
2011,1,1,2,55,5.188
2011,1,1,3,0,5.172
2011,1,1,3,5,5.1450000000000005
2011,1,1,3,10,5.142
2011,1,1,3,15,5.136
2011,1,1,3,20,5.13
2011,1,1,3,25,5.1080000000000005
2011,1,1,3,30,5.0840000000000005
2011,1,1,3,35,5.087
2011,1,1,3,40,5.099
2011,1,1,3,45,5.102
2011,1,1,3,50,5.093
2011,1,1,3,55,5.078
2011,1,1,4,0,5.057
2011,1,1,4,5,5.047
2011,1,1,4,10,5.057
2011,1,1,4,15,5.047
2011,1,1,4,20,5.041
2011,1,1,4,25,5.05
2011,1,1,4,30,5.0440000000000005
2011,1,1,4,35,5.017
2011,1,1,4,40,4.9830000000000005
2011,1,1,4,45,4.968
2011,1,1,4,50,4.95
2011,1,1,4,55,4.95
2011,1,1,5,0,4.965
2011,1,1,5,5,4.968
2011,1,1,5,10,4.971
2011,1,1,5,15,4.9590000000000005
2011,1,1,5,20,4.937
2011,1,1,5,25,4.928
2011,1,1,5,30,4.947
2011,1,1,5,35,4.98
2011,1,1,5,40,4.989
2011,1,1,5,45,4.986
2011,1,1,5,50,4.999
2011,1,1,5,55,5.035
2011,1,1,6,0,5.056
2011,1,1,6,5,5.096
2011,1,1,6,10,5.154
2011,1,1,6,15,5.2
2011,1,1,6,20,5.224
2011,1,1,6,25,5.2330000000000005
2011,1,1,6,30,5.237
2011,1,1,6,35,5.243
2011,1,1,6,40,5.246
2011,1,1,6,45,5.2090000000000005
2011,1,1,6,50,5.163
2011,1,1,6,55,5.139
2011,1,1,7,0,5.127
2011,1,1,7,5,5.127
2011,1,1,7,10,5.133
2011,1,1,7,15,5.127
2011,1,1,7,20,5.114
2011,1,1,7,25,5.127
2011,1,1,7,30,5.151
2011,1,1,7,35,5.182
2011,1,1,7,40,5.212
2011,1,1,7,45,5.224
2011,1,1,7,50,5.24
2011,1,1,7,55,5.261
2011,1,1,8,0,5.279
2011,1,1,8,5,5.291
2011,1,1,8,10,5.288
2011,1,1,8,15,5.267
2011,1,1,8,20,5.288
2011,1,1,8,25,5.337
2011,1,1,8,30,5.38
2011,1,1,8,35,5.417
2011,1,1,8,40,5.426
2011,1,1,8,45,5.404
2011,1,1,8,50,5.377
2011,1,1,8,55,5.398
2011,1,1,9,0,5.4590000000000005
2011,1,1,9,5,5.484
2011,1,1,9,10,5.511
2011,1,1,9,15,5.505
2011,1,1,9,20,5.5360000000000005
2011,1,1,9,25,5.554
2011,1,1,9,30,5.606
2011,1,1,9,35,5.63
2011,1,1,9,40,5.612
2011,1,1,9,45,5.572
2011,1,1,9,50,5.472
2011,1,1,9,55,5.407
2011,1,1,10,0,5.365
2011,1,1,10,5,5.157
2011,1,1,10,10,4.9190000000000005
2011,1,1,10,15,4.7940000000000005
2011,1,1,10,20,4.785
2011,1,1,10,25,4.751
2011,1,1,10,30,4.7330000000000005
2011,1,1,10,35,4.697
2011,1,1,10,40,4.642
2011,1,1,10,45,4.614
2011,1,1,10,50,4.59
2011,1,1,10,55,4.587
2011,1,1,11,0,4.605
2011,1,1,11,5,4.651
2011,1,1,11,10,4.626
2011,1,1,11,15,4.62
2011,1,1,11,20,4.623
2011,1,1,11,25,4.623
2011,1,1,11,30,4.705
2011,1,1,11,35,4.785
2011,1,1,11,40,4.861
2011,1,1,11,45,4.937
2011,1,1,11,50,5.001
2011,1,1,11,55,5.038
2011,1,1,12,0,5.081
2011,1,1,12,5,5.13
2011,1,1,12,10,5.105
2011,1,1,12,15,5.0440000000000005
2011,1,1,12,20,5.032
2011,1,1,12,25,5.062
2011,1,1,12,30,5.13
2011,1,1,12,35,5.246
2011,1,1,12,40,5.355
2011,1,1,12,45,5.4350000000000005
2011,1,1,12,50,5.517
2011,1,1,12,55,5.609
2011,1,1,13,0,5.642
2011,1,1,13,5,5.587
2011,1,1,13,10,5.548
2011,1,1,13,15,5.566
2011,1,1,13,20,5.657
2011,1,1,13,25,5.737
2011,1,1,13,30,5.737
2011,1,1,13,35,5.718
2011,1,1,13,40,5.679
2011,1,1,13,45,5.679
2011,1,1,13,50,5.722
2011,1,1,13,55,5.761
2011,1,1,14,0,5.78
2011,1,1,14,5,5.7860000000000005
2011,1,1,14,10,5.789
2011,1,1,14,15,5.816
2011,1,1,14,20,5.883
2011,1,1,14,25,5.865
2011,1,1,14,30,5.776
2011,1,1,14,35,5.648
2011,1,1,14,40,5.505
2011,1,1,14,45,5.404
2011,1,1,14,50,5.316
2011,1,1,14,55,5.215
2011,1,1,15,0,5.096
2011,1,1,15,5,4.955
2011,1,1,15,10,4.772
2011,1,1,15,15,4.614
2011,1,1,15,20,4.516
2011,1,1,15,25,4.366
2011,1,1,15,30,4.165
2011,1,1,15,35,3.963
2011,1,1,15,40,3.744
2011,1,1,15,45,3.524
2011,1,1,15,50,3.326
2011,1,1,15,55,3.1910000000000003
2011,1,1,16,0,3.109
2011,1,1,16,5,3.063
2011,1,1,16,10,3.039
2011,1,1,16,15,2.981
2011,1,1,16,20,2.953
2011,1,1,16,25,2.9410000000000003
2011,1,1,16,30,2.923
2011,1,1,16,35,2.892
2011,1,1,16,40,2.847
2011,1,1,16,45,2.786
2011,1,1,16,50,2.703
2011,1,1,16,55,2.6630000000000003
2011,1,1,17,0,2.63
2011,1,1,17,5,2.5540000000000003
2011,1,1,17,10,2.45
2011,1,1,17,15,2.386
2011,1,1,17,20,2.306
2011,1,1,17,25,2.193
2011,1,1,17,30,2.157
2011,1,1,17,35,2.1750000000000003
2011,1,1,17,40,2.203
2011,1,1,17,45,2.203
2011,1,1,17,50,2.142
2011,1,1,17,55,2.09
2011,1,1,18,0,2.004
2011,1,1,18,5,1.9000000000000001
2011,1,1,18,10,1.7910000000000001
2011,1,1,18,15,1.73
2011,1,1,18,20,1.745
2011,1,1,18,25,1.7910000000000001
2011,1,1,18,30,1.818
2011,1,1,18,35,1.803
2011,1,1,18,40,1.7510000000000001
2011,1,1,18,45,1.678
2011,1,1,18,50,1.629
2011,1,1,18,55,1.647
2011,1,1,19,0,1.705
2011,1,1,19,5,1.733
2011,1,1,19,10,1.705
2011,1,1,19,15,1.647
2011,1,1,19,20,1.6500000000000001
2011,1,1,19,25,1.727
2011,1,1,19,30,1.812
2011,1,1,19,35,1.8880000000000001
2011,1,1,19,40,1.943
2011,1,1,19,45,1.989
2011,1,1,19,50,1.995
2011,1,1,19,55,1.934
2011,1,1,20,0,1.852
2011,1,1,20,5,1.788
2011,1,1,20,10,1.733
2011,1,1,20,15,1.717
2011,1,1,20,20,1.73
2011,1,1,20,25,1.73
2011,1,1,20,30,1.766
2011,1,1,20,35,1.778
2011,1,1,20,40,1.76
2011,1,1,20,45,1.742
2011,1,1,20,50,1.73
2011,1,1,20,55,1.717
2011,1,1,21,0,1.663
2011,1,1,21,5,1.574
2011,1,1,21,10,1.5010000000000001
2011,1,1,21,15,1.467
2011,1,1,21,20,1.437
2011,1,1,21,25,1.367
2011,1,1,21,30,1.272
2011,1,1,21,35,1.202
2011,1,1,21,40,1.168
2011,1,1,21,45,1.159
2011,1,1,21,50,1.147
2011,1,1,21,55,1.08
2011,1,1,22,0,0.994
2011,1,1,22,5,0.9490000000000001
2011,1,1,22,10,0.927
2011,1,1,22,15,0.887
2011,1,1,22,20,0.8290000000000001
2011,1,1,22,25,0.775
2011,1,1,22,30,0.729
2011,1,1,22,35,0.665
2011,1,1,22,40,0.552
2011,1,1,22,45,0.445
2011,1,1,22,50,0.335
2011,1,1,22,55,0.20700000000000002
